0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,58,0,0,17,0,0,0,0,0,0,0,0,29,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,23,0,0,0,0,0,0,0,0,19,96,0,0,0,0,0,47,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,98,0,19,0,53,0,0,0,0,0,0,0,0,0,77,60,0,0,0,0,0,0,0,26,41,0,24,0
0,0,0,1,0,55,0,0,0,0,0,0,78,0,0,0,86,0,0,0,0,0,0,0,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,61,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,33,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,19
0,0,1,0,0,0,0,0,36,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,5,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,44,0,0,0,0,86,0,62,0,0,0,0,97
0,0,0,0,0,0,55,0,0,0,0,0,0,0,48,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,62,0,0,0,0,0,0,25,0,0,0,0,0,0,37,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
0,0,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,69,0,0,29,0,0,0,58,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,29,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,57,9,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,28
0,0,0,36,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,81,0,0,0,0,0,36,0,0,73,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,91,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,34,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
